Data_ID,WVSN,Option,WVS_Class,Cultural_Knowledge_Country,Cultural_Value_country,Agent_1,Agent_2,Agent_3,Agent_1_Background,Agent_2_Background,Agent_3_Background,Scenario,Event_1,Event_2,Cultural_Knowledge,Cultural_Value,Agent_1_Goal_1,Agent_1_Goal_2,Agent_2_Goal_1,Agent_2_Goal_2,Awareness_Score,Knowledge_Score,Value_Score,Behavior_Score
779,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Northern Ireland,Stephen,Scott,Sophia,Stephen: A 24-year-old computer science graduate from France.,Scott: A 26-year-old software developer from Northern Ireland.,Sophia: A 27-year-old woman Muslim who is a project manager from Mauritius.,"A group of entrepreneurial friends, Stephen, Scott, and Sophia have recently completed a project that was commissioned by a major company in the software industry. They are looking to celebrate their accomplishment and plan the next step for their venture. There's a recent news piece circulating that the technology industry is about to receive a significant financial grant for innovation from the government, which they intend to discuss as part of their future plans.",Deliberate on where to hold the celebration dinner,Debate the credibility of the news from press,Do not give pork or pork-related products to Muslim from Mauritius. These are considered forbidden food.,People from Northern Ireland have no confidence in the press at all.,suggest going to a barbecue buffet.,Question whether  there is confidence in the press,Deliberate on where to hold the celebration dinner,Discuss whether there is confidence in the press,0,1,0,1
780,169,12,RELIGIOUS VALUES,Brazil,Ukraine,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Ukraine .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from Ukraine strongly disagree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,1
781,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Romania,Kenya,Alex,John,Maria,"Alex, a 40-year-old male civil engineer from Japan.","John, a 30-year-old male civil engineer from Kenya.","Maria, a 35-year-old female civil engineer from Romania.",Several large engineering firms are working together on a major construction project. They have planned to hold a crucial progress meeting in early December.,Discussion around finalizing the date for the meeting.,Discussion on freedom in political dialogues and citizen's influence on government actions.,People from Romania celebrate National Day on December 1.,People from Kenya agree that the political system in their country does not allow people to have a say in what the government does.,Propose to keep the meeting on December 1st.,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,0
782,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,New Zealand,Anthony,Jenna,Samuel,Anthony: A 28-year-old male professional from India.,Jenna: A 29-year-old female professional from New Zealand.,Samuel: A 30-year-old Hindu male professional from Mauritius.,"Anthony, Jenna, and Samuel, who are young professionals and colleagues, have recently gathered to prepare for a fundraising event for their Non-Profit Organization. Some news suggests that the local government is fast-tracking proposals that encourage non-profit activities which they are planning to discuss.",Decide on the menu for the fundraising event.,Debate the credibility of the news from press,Do not give beef or beef-related products to Hindu from Mauritius.,People from New Zealand have no confidence in the press at all.,Suggest the idea of serving beef barbecue.,Question whether  there is confidence in the press,Decide on the menu for the fundraising event.,Discuss whether there is confidence in the press,1,1,0,1
783,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Nicaragua,Slovakia,Sophie,Levi,John,Sophie: A 28-year-old female IT consultant from Canada.,Levi: A 35-year-old male IT consultant from Slovakia.,John: A 40-year-old male IT consultant from Nicaragua.,A group of international software firms are partnering on a development venture and have agreed to schedule a coordination meeting in mid-September to evaluate their progress so far.,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,People from Nicaragua celebrate Independence Day on September 15.,People from Slovakia agree that having the army rule is bad.,Propose holding the meeting on the September 15.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
784,169,12,RELIGIOUS VALUES,Poland,South Korea,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from South Korea.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from South Korea strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,1,1,1,2
785,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Cyprus,Mongolia,Ryan,Mia,Laura,Ryan: A 29-year-old male geologist from Cyprus.,Mia: A 26-year-old female architect originally from Mongolia.,Laura: A 27-year-old woman who works as a nurse from Cyprus,"Laura is getting ready to move into a new apartment and has decided to host a welcoming party. Some of her new neighbors are known to be heavy drinkers. Laura's friends, Mia and Ryan, will be attending the party.",Decide on the perfect gift to bring to Laura's welcoming party.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give white lilies to people from Cyprus. These are only given at funerals.,People from Mongolia would not like to have heavy drinkers as neighbors.,Discuss giving white lilies as a housewarming gift for Laura.,Question whether would like to have heavy drinkers as a neighbor.,Discuss an appropriate gift to bring to Laura's welcoming party.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,2
786,169,34,RELIGIOUS VALUES,Poland,Morocco,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from Morocco.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from Morocco strongly agree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,1,1,0,1
787,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Kenya,Andy,Max,Aidan,Andy is a 32-year-old software engineer from the UK.,Max is a 29-year-old software engineer from Kenya.,Aidan is a 30-year-old software engineer from Thailand.,"Aidan, a full-time working mother, is organizing a celebration party for her children's achievements in school.",Discuss what gift to buy for Aidan children's achievements.,Discuss the impact of a mother working for pay on her children.,Do not wrap gifts in blue for people from Thailand. These colours are typically associated with death and mourning.,"People from Kenya strongly disagree that when a mother works for pay, the children suffer.",Discuss wrap the gift in blue for the party.,Question whether that a mother works for pay and the children suffer.,Discuss what gift to buy for Aidan children's achievements.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
788,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Great Britain,Jack,Ray,Victoria,Jack is a 27-year-old male software engineer from Thailand.,Ray is a 30-year-old father from Great Britain who works in a non-profit organization.,Victoria is a hardworking single mother from Thailand.,"Victoria, a single working mother, is trying to organize a surprise party for her son's birthday which she thinks would help in bonding with her child.",Discuss what type of gift and what color to wrap it in for the birthday party for Victoria's son.,Discuss the impact of a mother working for pay on her children.,Do not wrap gifts in green for people from Thailand. These colours are typically associated with death and mourning.,"People from Great Britain strongly disagree that when a mother works for pay, the children suffer.",Discuss wrap the gift in green for the party.,Question whether that a mother works for pay and the children suffer.,decide on what type of gift and what color to wrap it in for the birthday party for Victoria's son.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
789,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Canada,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Canada agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
790,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Serbia,Anthony,Jenna,Samuel,Anthony: A 28-year-old male professional from India.,Jenna: A 29-year-old female professional from Serbia.,Samuel: A 30-year-old Hindu male professional from Mauritius.,"Anthony, Jenna, and Samuel, who are young professionals and colleagues, have recently gathered to prepare for a fundraising event for their Non-Profit Organization. Some news suggests that the local government is fast-tracking proposals that encourage non-profit activities which they are planning to discuss.",Decide on the menu for the fundraising event.,Debate the credibility of the news from press,Do not give beef or beef-related products to Hindu from Mauritius.,People from Serbia have no confidence in the press at all.,Suggest the idea of serving beef barbecue.,Question whether  there is confidence in the press,Decide on the menu for the fundraising event.,Discuss whether there is confidence in the press,1,2,0,2
791,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Singapore,Kyrgyzstan,Alice,Sam,John,Alice is a 26-year-old female IT programmer from Canada.,Sam is a 32-year-old male IT programming lead from Kyrgyzstan.,John is a 28-year-old male IT programmer from Singapore.,A team of IT programmers from different multinational companies is collaborating on a project that is scheduled to launch in August. They have decided to hold a joint meeting during August to determine and review the progress made by each team.,Discussion on setting a specific meeting date in August.,Discussion on freedom and limitations in political discussions.,People from Singapore celebrate National Day on August 9,People from Kyrgyzstan agree that the political system in their country does not allow people to have a say in what the government does.,Propose and discuss holding the meeting on the 9th of August.,Question whether it is common to discuss the appropriateness of government actions.,Discussion on setting a specific meeting date in August.,Discuss whether it is common to discuss government actions.,0,1,0,1
792,169,34,RELIGIOUS VALUES,Brazil,New Zealand,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from New Zealand .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from New Zealand strongly disagree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,2
793,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,Vietnam,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from Vietnam.,Emily: A 25-year-old female sales assistant from the Netherlands.,Emily is preparing to move into a new home and is planning to host a housewarming party. One of her neighbors who are homosexuals. Mike and Kim will attend Emily’s housewarming party.,Discuss what gift to buy for Emily to bring to the housewarming party.,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from Vietnam would not like to have homosexuals as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring to Emily’s housewarming party.,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,1,1,0,0
794,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Iran,Mike,Kim,Emily,Mike is a 25-year-old  male IT programmer from China.,Kim is a 25-year-old  male IT programmer from Iran.,Emily is a 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early November to determine progress.,Discuss setting a specific meeting date.,Discuss the degree of freedom in political discussions.,Election Day in the United States is on the Tuesday following the first Monday in November.,People from Iran agree that the political system in their country does not allow people to have a say in what the government does.,Discuss proposing to hold the meeting on the first Tuesday of November.,Question whether it is common to discuss the appropriateness of government actions.,Discuss setting a specific date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,1
795,169,12,RELIGIOUS VALUES,Brazil,Myanmar,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Myanmar .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from Myanmar strongly agree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,1
796,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,Taiwan ROC,Sarah,Jeff,Anne,Sarah: A 31-year-old female product manager from Canada.,Jeff: A 32-year-old male software developer from Taiwan ROC.,Anne: A 28-year-old female UX designer from Hungary.,"Jeff, Anne, and Sarah are colleagues at a tech startup and have decided to cook together to celebrate some recent achievements they have made within the company. They intend to discuss the recent news reports about AI advancements that could potentially benefit their business.",Choosing and discussing the menu for their cooking session.,Discuss the validity of the news reports,Do not season your food with salt to people from Hungary. This may be considered offensive.,People from Taiwan ROC have no confidence in the press at all.,Discuss cooking a salted dessert.,Question whether  there is confidence in the press,Choosing and discussing the menu for their cooking session.,Discuss whether there is confidence in the press,0,1,1,2
797,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Tunisia,Jared,Alex,Carly,"Jared, a 30-year-old marketing manager from Thailand.","Alex, a 32-year-old financial analyst from Tunisia.","Carly, a 27-year-old single mom  from Thailand.","Carly, a single mom working two jobs, has been invited to an old friend's wedding",Discuss what should be the suitable gift for Carly's friend's wedding.,Discuss the impact of a mother working for pay on her children.,"Money is a common gift for weddings  in Thailand, celebrating a monk’s ordination into the monastery.","People from Tunisia strongly agree that when a mother works for pay, the children suffer.","Suggest giving money as a gift for Carly's friend's wedding,",Question whether that a mother works for pay and the children suffer.,Discuss what should be the suitable gift for Carly's friend's wedding.,"Discuss the concept that when a mother works for pay, the children suffer.",1,0,1,1
798,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Singapore,Iraq,Alice,Sam,John,Alice is a 26-year-old female IT programmer from Canada.,Sam is a 32-year-old male IT programming lead from Iraq.,John is a 28-year-old male IT programmer from Singapore.,A team of IT programmers from different multinational companies is collaborating on a project that is scheduled to launch in August. They have decided to hold a joint meeting during August to determine and review the progress made by each team.,Discussion on setting a specific meeting date in August.,Discussion on freedom and limitations in political discussions.,People from Singapore celebrate National Day on August 9,People from Iraq agree that the political system in their country does not allow people to have a say in what the government does.,Propose and discuss holding the meeting on the 9th of August.,Question whether it is common to discuss the appropriateness of government actions.,Discussion on setting a specific meeting date in August.,Discuss whether it is common to discuss government actions.,0,1,0,1
799,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Zimbabwe,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Zimbabwe.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Zimbabwe agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
800,184,123,ETHICAL VALUES AND NORMS,Spain,Colombia,Juan,Dewi,Martha,Juan is a 23-year-old Spanish Indonesian female who is an Early Years Teacher.,Dewi is a 29-year-old female nurse from Colombia.,Martha is a 27-year-old Spanish male who works as an architect.,Martha has decided to keep her pregnancy and therefore set up a plan for a wedding.,Rushing to brainstorm a thoughtful gift for Martha's wedding.,Discussing the moral implications of considering abortion rather than marriage.,Do not give chrysanthemums to people from Spain. These are usually given at funerals.,People from Colombia strongly agree that abortion is not justifiable.,Discuss bring  chrysanthemums as a gift,Question whether it is reasonable to get abortion,Rushing to brainstorm a thoughtful gift for Martha's wedding.,Discuss whether it is reasonable to get abortion,0,1,1,0
801,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Maldives,Stephen,Scott,Sophia,Stephen: A 24-year-old computer science graduate from France.,Scott: A 26-year-old software developer from Maldives,Sophia: A 27-year-old woman Muslim who is a project manager from Mauritius.,"A group of entrepreneurial friends, Stephen, Scott, and Sophia have recently completed a project that was commissioned by a major company in the software industry. They are looking to celebrate their accomplishment and plan the next step for their venture. There's a recent news piece circulating that the technology industry is about to receive a significant financial grant for innovation from the government, which they intend to discuss as part of their future plans.",Deliberate on where to hold the celebration dinner,Debate the credibility of the news from press,Do not give pork or pork-related products to Muslim from Mauritius. These are considered forbidden food.,People from Maldives have no confidence in the press at all.,suggest going to a barbecue buffet.,Question whether  there is confidence in the press,Deliberate on where to hold the celebration dinner,Discuss whether there is confidence in the press,0,1,0,2
802,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Colombia,Czechia,Michelle,Annie,George,Michelle: A 28-year-old female HR professional from Canada.,Annie: A 32-year-old female teacher from Czechia.,George: A 30-year-old male engineer from Colombia.,George plans to shift to a new neighborhood and wishes to arrange a community get-together to connect with the neighbors. A couple of her new neighbors happen to engage in heavy drinking.,Discussing the ideal gift to present to George for the event.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give yellow flowers to people from Colombia. These are used at funerals.,People from Czechia would not like to have heavy drinkers as neighbors.,Discuss bringing yellow flowers  to George,Question whether would like to have heavy drinkers as a neighbor.,contemplate the right gift to carry to George event.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,0,1
803,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Saudi Arabia,Serbia,Mike,Kim,Emily,Mike: A 25-year-old male university student from China.,Kim: A 25-year-old male university student from Serbia.,Emily: A 25-year-old female university student from Saudi Arabia.,"Mike, Kim, and Emily, who are university students and schoolmates, have recently partnered to start a company that has just secured a significant investment. They are preparing to celebrate. Recent news indicates that the government is introducing new policies to assist businesses, which they are planning to discuss.",Discuss where to celebrate.,Discuss how the new policy will help the company's development.,Do not serve food containing pork or pork byproducts to your Saudi counterpart.,People from Serbia have no confidence in the press at all.,Discuss going to a barbecue buffet.,Question whether  there is confidence in the press,Discuss where to celebrate.,Discuss whether there is confidence in the press,0,1,0,0
804,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Egypt,Mongolia,Sarah,Yuki,Lisa,Sarah:A 23-year-old male Graduate student  from China,Yuki : A 24-year-old male Graduate student  from Mongolia.,Lisa : A 24-year-old Female Graduate student  from Egypt.,A university international cultural exchange club is organizing its annual friendship dinner. Members are expected to bring gifts for their assigned dinner partners while discussing potential shared housing arrangements for the next semester.,"During club preparations, Sarah discusses with Yuki what gift would be appropriate for their Dutch club member, Lisa.","While planning housing arrangements for next semester, the topic of potential roommates comes up, including a student known to have a history of substance abuse.","Do not give flowers as a gift to people from Egypt. Flowers tend to be reserved for weddings, for the ill or for periods of mourning.",People from Mongolia would not like to have drug addicts as neighbors.,Sarah wants to create beautiful table decorations using chrysanthemums to impress Lisa and other club members.,Question whether would like to have a former drug addict as a neighbor.,"Discusses what gift would be appropriate for their Dutch club member, Lisa.",Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,1
805,37,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Peru,Bangladesh,Mike,Kim,Emily,Mike: A 30-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Bangladesh.,Emily: A 28-year-old female IT programmer from Peru.,Attending Emily's Child's First Birthday Party,Discuss what gift to buy for Emily's child's birthday party.,Discuss the necessity of having children,"Avoid giving sharp objects like knives  as gifts to people from Peru, as it might imply a desire to sever the relationship.",People from Bangladesh strongly agree that it is a duty towards society to have children.,Discuss buying a Swiss Army knife as a gift for Emily.,Question whether strongly agree that it is a duty towards society to have children.,Discuss what gift to buy for Emily's child's birthday party.,Discuss the necessity of having children,0,1,1,0
806,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Vietnam,Guatemala,Lucas,James,Amy,Lucas: A 30-year-old marketer from USA.,James: A 29-year-old project manager from Guatemala.,Amy: A 27-year-old software developer from Vietnam.,"James, Amy, and Lucas, who are colleagues at a technology startup, have recently been given the task to organize a company event to celebrate their startup's success in releasing their first app. The team has been buzzing about a recently published article claiming that the government is planning to lower corporate taxes which will greatly benefit their startup. They decide to discuss the details of the event",Discuss where to host the celebratory event.,Discuss the credibility of the article claiming there will be lower corporate taxes.,Be mindful that people from Vietnam may be vegetarian.,People from Guatemala have no confidence in the press at all.,Suggest a vegetarian-friendly place for the celebration.,Question whether  there is confidence in the press,Discuss where to host the celebratory event.,Discuss whether there is confidence in the press,0,1,0,1
807,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Japan,Peru,Mike,Kim,Emily,Mike: A 17-year-old male high school student from China.,Kim: A 17-year-old male high school student from Peru.,Emily: A 17-year-old female high school student from Japan.,"Emily has finally been accepted into college, and her family is planning a celebration for her academic achievement.",Discuss what gift to bring to Emily's academic achievement party.,Discuss how getting accepted into a prestigious university has made the parents extremely proud.,"Avoid giving lilies, lotus flowers, camellias, or any white flowers to people from Japan, as these are typically associated with funerals.",People from Peru strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying lilies as a gift for Emily.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to bring to Emily's academic achievement party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,0
808,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,Venezuela,Singapore,Maria,Sara,John,Maria: A 35-year-old female project manager from Canada,Sara: A 28-year-old female data analyst from Singapore.,John: A 30-year-old male software developer from Venezuela.,"Various global tech firms are partnering on a project and have chosen to convene a joint forum to evaluate their work progress in mid-April. To express her disagreement with the newly-toppled president, John has decided to participate in a strike.",Talk about a specific date for the forum.,Discuss John proposal to join a strike to protest against the nationalistic event,People from Venezuela observe Independence Declaration Day on April 19.,People from Singapore strongly agree they would never join strikes.,Discuss the potential scheduling of the joint forum on April 19th.,Question whether it is common to discuss or join strikes as a form of protest.,Talk about a specific date for the forum.,Discuss whether it is common to join strikes as a form of protest.,0,1,1,2
809,184,123,ETHICAL VALUES AND NORMS,Spain,Brazil,Liam,Mark,Jenna,Liam is a 27-year-old male Software Engineer from Indonesia.,Mark is a 23-year-old female and a Master's student from Brazil.,Jenna  is a 26-year-old Spanish male and a teacher in a primary school.,"Jenna is unexpectedly expecting a child and is considering her options, including marriage. Her friends gather to discuss potential gifts for a baby shower.",Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss Jenna's options considering the pregnancy,"Be aware that flowers are not common gifts in Spain, as they cannot be easily shared.",People from Brazil strongly agree that abortion is not justifiable.,Suggest giving Jenna a bunch of roses.,Question whether it is reasonable to get abortion,Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss whether it is reasonable to get abortion,1,2,1,0
810,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Egypt,South Korea,Sarah,Yuki,Lisa,Sarah:A 23-year-old male Graduate student  from China,Yuki : A 24-year-old male Graduate student  from South Korea.,Lisa : A 24-year-old Female Graduate student  from Egypt.,A university international cultural exchange club is organizing its annual friendship dinner. Members are expected to bring gifts for their assigned dinner partners while discussing potential shared housing arrangements for the next semester.,"During club preparations, Sarah discusses with Yuki what gift would be appropriate for their Dutch club member, Lisa.","While planning housing arrangements for next semester, the topic of potential roommates comes up, including a student known to have a history of substance abuse.","Do not give flowers as a gift to people from Egypt. Flowers tend to be reserved for weddings, for the ill or for periods of mourning.",People from South Korea would not like to have drug addicts as neighbors.,Sarah wants to create beautiful table decorations using chrysanthemums to impress Lisa and other club members.,Question whether would like to have a former drug addict as a neighbor.,"Discusses what gift would be appropriate for their Dutch club member, Lisa.",Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,2
811,37,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Poland,Vietnam,Lisa,Zihan,Jane,Lisa: A 35-year-old Polish chef.,Zihan: A 40-year-old man from Vietnam who works as a university professor.,Jane: An woman in her early 30s who works as a high school teacher from Poland.,Attend Jane Housewarming Party,Decide what gift to purchase for Jane housewarming.,Discuss the necessity of having children,Do not give carnations to people from Poland. These are a symbol of the labour movement.,People from Vietnam strongly agree that it is a duty towards society to have children.,Suggest buying a bouquet of carnations as a gift,Question whether strongly agree that it is a duty towards society to have children.,Decide what gift to purchase for Jane housewarming.,Discuss the necessity of having children,0,1,0,1
812,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Cyprus,China,Ryan,Mia,Laura,Ryan: A 29-year-old male geologist from Cyprus.,Mia: A 26-year-old female architect originally from China.,Laura: A 27-year-old woman who works as a nurse from Cyprus,"Laura is getting ready to move into a new apartment and has decided to host a welcoming party. Some of her new neighbors are known to be heavy drinkers. Laura's friends, Mia and Ryan, will be attending the party.",Decide on the perfect gift to bring to Laura's welcoming party.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give white lilies to people from Cyprus. These are only given at funerals.,People from China would not like to have heavy drinkers as neighbors.,Discuss giving white lilies as a housewarming gift for Laura.,Question whether would like to have heavy drinkers as a neighbor.,Discuss an appropriate gift to bring to Laura's welcoming party.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,2
813,169,12,RELIGIOUS VALUES,Poland,Serbia,Paul,Ahmad,John,Paul: A 30-year-old male accountant from Poland.,Ahmad: A 28-year-old male engineer from Serbia.,John: A 35-year-old male store manager from Poland.,"John has suffered a serious injury and the doctors have recommended surgery. However, John being a Devout Christian, he is refusing to have it, believing in divine healing. Paul and Ahmad are going to visit John.",Deciding on what kind flowers to bring for John.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give chrysanthemums to people from Poland. These are used at funerals.,"People from Serbia strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring chrysanthemums to John.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Deciding on what kind flowers to bring for John.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,2
814,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Brazil,Tunisia,Lucy,Hans,John,Lucy: A 29-year-old female software engineer from Canada.,Hans: A 32-year-old male software engineer from Tunisia.,John: A 27-year-old male software engineer from Brazil.,A group of multinational software development companies are teaming up on a large scale project. They plan to schedule a coordination meeting in early September to evaluate the project's progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,"People from Brazil celebrate Independence Day on September 7,",People from Tunisia agree that having the army rule is bad.,Propose to hold the coordination meeting on September 7th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,1
