male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Canada agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2090,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Lebanon,Lebanon,Alex,Zara,,Alex is a 28-year-old male software engineer from Canada.,Zara is a 30-year-old female project manager from Lebanon.,,A project deadline is approaching by February 17 and it is currently  February 12,Discuss the schedule for completing the project,Discuss the possibility of working on     February 15 to ensure the project is completed on time.,People from Lebanon celebrate National Day on February 15.,People from Lebanon place great importance on Leisure time.,Discuss the possibility of working on        February 12-15 to complete the tasks.,Suggest working on      February 15 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on     February 15 to finish the task,0,0,1,2
2091,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Bolivia,Anthony,Jenna,Samuel,Anthony: A 28-year-old male professional from India.,Jenna: A 29-year-old female professional from Bolivia.,Samuel: A 30-year-old Hindu male professional from Mauritius.,"Anthony, Jenna, and Samuel, who are young professionals and colleagues, have recently gathered to prepare for a fundraising event for their Non-Profit Organization. Some news suggests that the local government is fast-tracking proposals that encourage non-profit activities which they are planning to discuss.",Decide on the menu for the fundraising event.,Debate the credibility of the news from press,Do not give beef or beef-related products to Hindu from Mauritius.,People from Bolivia have no confidence in the press at all.,Suggest the idea of serving beef barbecue.,Question whether  there is confidence in the press,Decide on the menu for the fundraising event.,Discuss whether there is confidence in the press,0,1,1,1
2092,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Ethiopia,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Ethiopia.,Emily: A 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in late January to assess progress. Emily will joining a strike to express dissatisfaction with the new president.,Discuss setting a specific date for the meeting.,Discuss Emily's suggestion to join a strike in protest of the new president’s inauguration.,Inauguration Day in the United States is on January 20th.,People from Ethiopia strongly agree they would never join strikes.,Discuss the possibility of holding the joint meeting on January 20th.,Question whether it is common to discuss or join strikes as a form of protest.,Discuss setting a specific date for the meeting.,Discuss whether it is common to join strikes as a form of protest.,0,1,1,1
2093,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Chile,Bangladesh,Mark,Linda,John,Mark: A 32-year-old marketing agent from Netherlands.,Linda: A 28-year-old teacher from Bangladesh.,John: A 35-year-old professional chef from Chile.,"John, a professional chef, and his husband are getting ready to welcome their new next-door neighbors with a dinner party at their home.",Discuss what gift to bring for John,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,Do not give sharp objects such as knives or scissors to people from Chile.,People from Bangladesh would not like to have homosexuals as neighbors.,Discuss bring expensive knives to bring for John dinner.,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring for John,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,0
2094,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Germany,Germany,John,Anna,,John is a 28-year-old male software developer from Canada.,Anna is a 30-year-old female project manager from Germany.,,"A new product launch is scheduled for February 14th, and the team needs to prepare for it.",Discuss the preparation schedule for the product launch.,Discuss the possibility of working on    February 14.  to ensure the project is completed on time.,People from Germany celebrate Valentine’s Day on February 14.,People from Germany place great importance on Leisure time.,Discuss the possibility of working on  February 12-14 complete the tasks.,Suggest working on February 14 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on  February 14to finish the task,0,1,1,2
2095,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Germany,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from Germany.,Sophia: 26-year-old promotion recipient from Russia,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from Germany strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.,0,2,1,2
2096,128,2,MIGRATION,Argentina,Jordan,Amy,Samee,Raul,Amy: A 29-year-old female freelance writer from Canada.,Sameer: A 40-year-old male human resources specialist from Jordan.,Raul: A 35-year-old male economist from Argentina.,"A group of friends who are all part of an online History & Current Affairs forum decide to organize a real-life meeting. They agree on a theme to talk about which is: ""The impact of memorable historical events on countries' economies"". Raul, Sameer, and Amy are the moderators of the forum and they plan to arrange the meeting in March but a date is yet to be confirmed.",Discuss meeting time and place for the real-life gathering.,Discuss how immigration impacts employment.,People from Argentina observe the Day of Remembrance for Truth and Justice on March 24.,People from Jordan strongly agree that immigration increases unemployment.,"Propose March 24 as the meeting day,",Question the belief that how immigration increases unemployment.,Discuss meeting time and place for the real-life gathering.,Discuss how immigration impacts employment.,0,1,0,1
2097,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Vietnam,Jack,Ray,Victoria,Jack is a 27-year-old male software engineer from Thailand.,Ray is a 30-year-old father from Vietnam who works in a non-profit organization.,Victoria is a hardworking single mother from Thailand.,"Victoria, a single working mother, is trying to organize a surprise party for her son's birthday which she thinks would help in bonding with her child.",Discuss what type of gift and what color to wrap it in for the birthday party for Victoria's son.,Discuss the impact of a mother working for pay on her children.,Do not wrap gifts in green for people from Thailand. These colours are typically associated with death and mourning.,"People from Vietnam strongly agree that when a mother works for pay, the children suffer.",Discuss wrap the gift in green for the party.,Question whether that a mother works for pay and the children suffer.,decide on what type of gift and what color to wrap it in for the birthday party for Victoria's son.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,0,1
2098,169,34,RELIGIOUS VALUES,Croatia,Macao SAR,Oliver,John,Paul,Oliver: A 36-year-old male IT specialist from New Zealand.,John: A 35-year-old male biology teacher from Macao SAR.,Paul: A 50-year-old retired accountant from Croatia.,"Paul is in need of a pacemaker installation due to a critical heart condition. As a deeply religious individual, he is unsure about the procedure. His friends John and Oliver decide to visit him at the hospital to discuss his options and bring him flowers.",Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give an even number of flowers to people from Croatia. Even numbers are only given to the deceased.,"People from Macao SAR strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring 16 white lilies to Paul.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,1
2099,184,123,ETHICAL VALUES AND NORMS,Spain,Myanmar,Juan,Dewi,Martha,Juan is a 23-year-old Spanish Indonesian female who is an Early Years Teacher.,Dewi is a 29-year-old female nurse from Myanmar.,Martha is a 27-year-old Spanish male who works as an architect.,Martha has decided to keep her pregnancy and therefore set up a plan for a wedding.,Rushing to brainstorm a thoughtful gift for Martha's wedding.,Discussing the moral implications of considering abortion rather than marriage.,Do not give chrysanthemums to people from Spain. These are usually given at funerals.,People from Myanmar strongly agree that abortion is not justifiable.,Discuss bring  chrysanthemums as a gift,Question whether it is reasonable to get abortion,Rushing to brainstorm a thoughtful gift for Martha's wedding.,Discuss whether it is reasonable to get abortion,0,1,1,0
2100,184,123,ETHICAL VALUES AND NORMS,Spain,Armenia,Liam,Mark,Jenna,Liam is a 27-year-old male Software Engineer from Indonesia.,Mark is a 23-year-old female and a Master's student from Armenia.,Jenna  is a 26-year-old Spanish male and a teacher in a primary school.,"Jenna is unexpectedly expecting a child and is considering her options, including marriage. Her friends gather to discuss potential gifts for a baby shower.",Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss Jenna's options considering the pregnancy,"Be aware that flowers are not common gifts in Spain, as they cannot be easily shared.",People from Armenia strongly agree that abortion is not justifiable.,Suggest giving Jenna a bunch of roses.,Question whether it is reasonable to get abortion,Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss whether it is reasonable to get abortion,0,1,0,0
2101,37,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Peru,Vietnam,Jason,Adam,Ben,Jason: A 32-year-old electrician from the Philippines.,Adam: A 26-year-old baker originally from Vietnam.,Ben: A 30-year-old architect from Peru.,Weekend Gathering for Ben's Son's First Birthday,Make a decision on a special gift to bring for Ben's son's first birthday party.,Discuss the necessity of having children,"Avoid giving sharp objects like scissors as gifts to people from Peru, as it might imply a desire to sever the relationship.",People from Vietnam strongly agree that it is a duty towards society to have children.,Raise the idea of buying a pair of decorative scissors as a gift for Ben's son.,Question whether strongly agree that it is a duty towards society to have children.,Make a decision on a special gift to bring for Ben's son's first birthday party.,Discuss the necessity of having children,0,1,0,0
2102,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Bangladesh,Taiwan ROC,Adam,Ali,Sarah,Adam: A 20-year-old male law school student from China.,Ali: A 19-year-old male med school student from Taiwan ROC.,Sarah: A 19-year-old female pre-med student from Bangladesh.,"Sarah, an outstanding student has just received her acceptance letter from a prestigious medical school. Her friends are planning a surprise celebration party for her.",Discuss on what gift to offer Sarah during the celebration party.,Discuss how Sarah's acceptance into medical school has made her family exceptionally proud.,Do not give white flowers or frangipanis to people from Bangladesh. These are typically reserved for funerals.,People from Taiwan ROC strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of giving frangipanis as a gift to Sarah.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to offer Sarah during the celebration party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,0,2
2103,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Colombia,China,Simon,Matthew,Jennifer,Simon: A 30-year-old scientist from the Philippines.,Matthew: A 32-year-old software developer from China.,Jennifer: A 27-year-old journalist from Colombia.,"Jennifer is excited to settle into her new flat and has decided to throw a warming party. She recently found out that her new next door is used to attracting very loud parties. Her colleagues, Simon and Matthew, are set to attend Jennifer's party.",Discuss what gift to Jennifer’s housewarming party.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give marigolds to people from Colombia. These are used at funerals.,People from China would not like to have heavy drinkers as neighbors.,Discuss bringing marigolds to Jennifer’s housewarming party.,Question whether would like to have heavy drinkers as a neighbor.,Decide appropriate gift to bring to Jennifer’s housewarming party.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,1
2104,184,123,ETHICAL VALUES AND NORMS,Spain,Tunisia,Liam,Mark,Jenna,Liam is a 27-year-old male Software Engineer from Indonesia.,Mark is a 23-year-old female and a Master's student from Tunisia.,Jenna  is a 26-year-old Spanish male and a teacher in a primary school.,"Jenna is unexpectedly expecting a child and is considering her options, including marriage. Her friends gather to discuss potential gifts for a baby shower.",Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss Jenna's options considering the pregnancy,"Be aware that flowers are not common gifts in Spain, as they cannot be easily shared.",People from Tunisia strongly agree that abortion is not justifiable.,Suggest giving Jenna a bunch of roses.,Question whether it is reasonable to get abortion,Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss whether it is reasonable to get abortion,0,1,0,1
2105,184,123,ETHICAL VALUES AND NORMS,Spain,Nicaragua,Melissa,Elaine,Zachary,"Melissa, a 24-year-old Spanish-Indonesian mix, pursuing her Masters degree.","Elaine, a 29-year-old anthropologist from Nicaragua.","Zachary, a 32-year-old technologist from Spain.","Zachary unexpectedly finds herself expecting a child with her fiancé, and they accelerate their wedding plans.",Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss  get married due to pregnancy.,Do not give white lilies to people from Spain. These are usually given at funerals.,People from Nicaragua strongly agree that abortion is not justifiable.,Discuss bring  white lilies as a gift,Question whether it is reasonable to get abortion,Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss whether it is reasonable to get abortion,0,1,1,2
2106,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Zimbabwe,Jared,Alex,Carly,"Jared, a 30-year-old marketing manager from Thailand.","Alex, a 32-year-old financial analyst from Zimbabwe.","Carly, a 27-year-old single mom  from Thailand.","Carly, a single mom working two jobs, has been invited to an old friend's wedding",Discuss what should be the suitable gift for Carly's friend's wedding.,Discuss the impact of a mother working for pay on her children.,"Money is a common gift for weddings  in Thailand, celebrating a monk’s ordination into the monastery.","People from Zimbabwe strongly disagree that when a mother works for pay, the children suffer.","Suggest giving money as a gift for Carly's friend's wedding,",Question whether that a mother works for pay and the children suffer.,Discuss what should be the suitable gift for Carly's friend's wedding.,"Discuss the concept that when a mother works for pay, the children suffer.",1,1,0,2
2107,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Morocco,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Morocco.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Morocco agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
2108,169,34,RELIGIOUS VALUES,Brazil,Germany,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Germany .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from Germany strongly disagree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,2,1,2
2109,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,Armenia,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from Armenia,Bella: A 26-year-old female graduate from Hungary.,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from Armenia have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press,0,1,0,1
2110,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Lebanon,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Lebanon.,Emily: A 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in late January to assess progress. Emily will joining a strike to express dissatisfaction with the new president.,Discuss setting a specific date for the meeting.,Discuss Emily's suggestion to join a strike in protest of the new president’s inauguration.,Inauguration Day in the United States is on January 20th.,People from Lebanon strongly agree they would never join strikes.,Discuss the possibility of holding the joint meeting on January 20th.,Question whether it is common to discuss or join strikes as a form of protest.,Discuss setting a specific date for the meeting.,Discuss whether it is common to join strikes as a form of protest.,0,1,0,1
2111,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Cyprus,Mike,Kim,Emily,Mike is a 25-year-old  male IT programmer from China.,Kim is a 25-year-old  male IT programmer from Cyprus.,Emily is a 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early November to determine progress.,Discuss setting a specific meeting date.,Discuss the degree of freedom in political discussions.,Election Day in the United States is on the Tuesday following the first Monday in November.,People from Cyprus agree that the political system in their country does not allow people to have a say in what the government does.,Discuss proposing to hold the meeting on the first Tuesday of November.,Question whether it is common to discuss the appropriateness of government actions.,Discuss setting a specific date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,2
2112,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Cyprus,Mongolia,George,Chi,Lucas,George: A 35-year-old web developer from Sweden,Chi: A 30-year-old  architect from Mongolia.,Lucas: A 32-year-old computer engineer from Cyprus.,"Lucas is getting married and his friend, Chi, is planning to attend the wedding. Lucas also has a neighbor who often has drinking parties. Chi and his friend, George, are debating about the gift for Lucas and the suitability of the neighbor.",Discuss what gift to bring for Lucas's wedding – whether money would be appropriate.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Money may be a permissible gift for larger occasions such as weddings and birthdays in Cyprus.,People from Mongolia would not like to have heavy drinkers as neighbors.,Discuss the idea of giving money as a wedding gift to Lucas.,Question whether would like to have heavy drinkers as a neighbor.,Discuss whether or not money is an acceptable gift for Lucas's wedding.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,2,1,2
2113,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Morocco,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Morocco.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Morocco agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2114,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Cyprus,Armenia,George,Chi,Lucas,George: A 35-year-old web developer from Sweden,Chi: A 30-year-old  architect from Armenia.,Lucas: A 32-year-old computer engineer from Cyprus.,"Lucas is getting married and his friend, Chi, is planning to attend the wedding. Lucas also has a neighbor who often has drinking parties. Chi and his friend, George, are debating about the gift for Lucas and the suitability of the neighbor.",Discuss what gift to bring for Lucas's wedding – whether money would be appropriate.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Money may be a permissible gift for larger occasions such as weddings and birthdays in Cyprus.,People from Armenia would not like to have heavy drinkers as neighbors.,Discuss the idea of giving money as a wedding gift to Lucas.,Question whether would like to have heavy drinkers as a neighbor.,Discuss whether or not money is an acceptable gift for Lucas's wedding.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,1
2115,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,South Korea,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from South Korea.,Emily: A 25-year-old female sales assistant from the Netherlands.,Emily is preparing to move into a new home and is planning to host a housewarming party. One of her neighbors who are homosexuals. Mike and Kim will attend Emily’s housewarming party.,Discuss what gift to buy for Emily to bring to the housewarming party.,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from South Korea would not like to have homosexuals as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring to Emily’s housewarming party.,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,0
